idx,address,contract_name,compiler_version,total_nonempty_lines,contains_risk_keyword,input_file,original_source_dir,optimization_used,runs,license_type,proxy,implementation,etherscan_contract_name
47,0xe1F1a50123a6d95E3256FE80849891A55638D89f,FusangSwapRouter,v0.8.30+commit.73712a01,12780,True,recent_preprocessed_risk_only/contracts/0047_0xe1F1a50123a6d95E3256FE80849891A55638D89f_FusangSwapRouter.sol,recent_etherscan_300/sources/0xe1F1a50123a6d95E3256FE80849891A55638D89f_FusangSwapRouter,1,200,GNU GPLv2,0,,FusangSwapRouter
48,0xb6343b6cf76ca2e9c3514494db4b03571cc7bc27,AetherVault_Escrow,v0.8.20+commit.a1b79de6,635,True,recent_preprocessed_risk_only/contracts/0048_0xb6343b6cf76ca2e9c3514494db4b03571cc7bc27_AetherVault_Escrow.sol,recent_etherscan_300/sources/0xb6343b6cf76ca2e9c3514494db4b03571cc7bc27_AetherVault_Escrow,0,200,MIT,0,,AetherVault_Escrow
49,0x88bAdecCC3B33D3f7Cb264476fC5E6a352a83572,SatSwapRouter,v0.8.26+commit.8a97fa7a,1272,True,recent_preprocessed_risk_only/contracts/0049_0x88bAdecCC3B33D3f7Cb264476fC5E6a352a83572_SatSwapRouter.sol,recent_etherscan_300/sources/0x88bAdecCC3B33D3f7Cb264476fC5E6a352a83572_SatSwapRouter,0,200,,0,,SatSwapRouter
50,0xa0f10e5fa69307b39c6ecfe59dae290ea5426b9c,lotusPlant,v0.8.20+commit.a1b79de6,747,True,recent_preprocessed_risk_only/contracts/0050_0xa0f10e5fa69307b39c6ecfe59dae290ea5426b9c_lotusPlant.sol,recent_etherscan_300/sources/0xa0f10e5fa69307b39c6ecfe59dae290ea5426b9c_lotusPlant,0,200,,0,,lotusPlant
51,0xcb44138f3e2e25b72338372488d2a74a580a0e15,MoonwellStakingViews,v0.8.19+commit.7dd6d404,502,True,recent_preprocessed_risk_only/contracts/0051_0xcb44138f3e2e25b72338372488d2a74a580a0e15_MoonwellStakingViews.sol,recent_etherscan_300/sources/0xcb44138f3e2e25b72338372488d2a74a580a0e15_MoonwellStakingViews,1,1,,0,,MoonwellStakingViews
52,0x5f0a84405d485396eaa1cf53f9c21821147b9fc2,SAFUPool,v0.8.24+commit.e11b9ed9,4105,True,recent_preprocessed_risk_only/contracts/0052_0x5f0a84405d485396eaa1cf53f9c21821147b9fc2_SAFUPool.sol,recent_etherscan_300/sources/0x5f0a84405d485396eaa1cf53f9c21821147b9fc2_SAFUPool,1,200,,0,,SAFUPool
53,0x110213dCd5836634808E164718F8Cd4446FA72f5,GodsUnchainedTrading,v0.8.30+commit.73712a01,543,True,recent_preprocessed_risk_only/contracts/0053_0x110213dCd5836634808E164718F8Cd4446FA72f5_GodsUnchainedTrading.sol,recent_etherscan_300/sources/0x110213dCd5836634808E164718F8Cd4446FA72f5_GodsUnchainedTrading,1,400,,0,,GodsUnchainedTrading
54,0xaA92349F126Fc28639c974b320A7ECa9ea3a4088,SpyHook,v0.8.26+commit.8a97fa7a,1482,True,recent_preprocessed_risk_only/contracts/0054_0xaA92349F126Fc28639c974b320A7ECa9ea3a4088_SpyHook.sol,recent_etherscan_300/sources/0xaA92349F126Fc28639c974b320A7ECa9ea3a4088_SpyHook,1,800,,0,,SpyHook
55,0xD35Da1f141Afdc6589304B81382509E1d775cce8,LiquidityBonds,v0.8.22+commit.4fc1097e,4124,True,recent_preprocessed_risk_only/contracts/0055_0xD35Da1f141Afdc6589304B81382509E1d775cce8_LiquidityBonds.sol,recent_etherscan_300/sources/0xD35Da1f141Afdc6589304B81382509E1d775cce8_LiquidityBonds,1,200,,0,,LiquidityBonds
56,0x6E0DF678b8BF1A5d47C38efb3157d5490f7dBE07,ViceroyMoonERC20,v0.8.30+commit.73712a01,544,True,recent_preprocessed_risk_only/contracts/0056_0x6E0DF678b8BF1A5d47C38efb3157d5490f7dBE07_ViceroyMoonERC20.sol,recent_etherscan_300/sources/0x6E0DF678b8BF1A5d47C38efb3157d5490f7dBE07_ViceroyMoonERC20,0,200,,0,,ViceroyMoonERC20
57,0x32A9Fc40D8d7DC06cA32A299aAb5aa0E43cA049A,mEVETH,v0.8.9+commit.e5eed63a,2214,True,recent_preprocessed_risk_only/contracts/0057_0x32A9Fc40D8d7DC06cA32A299aAb5aa0E43cA049A_mEVETH.sol,recent_etherscan_300/sources/0x32A9Fc40D8d7DC06cA32A299aAb5aa0E43cA049A_mEVETH,1,200,,0,,mEVETH
58,0xDEC0DE065341b46a96d127C633895D231Ae0B9f3,SpyPepe,v0.8.26+commit.8a97fa7a,734,True,recent_preprocessed_risk_only/contracts/0058_0xDEC0DE065341b46a96d127C633895D231Ae0B9f3_SpyPepe.sol,recent_etherscan_300/sources/0xDEC0DE065341b46a96d127C633895D231Ae0B9f3_SpyPepe,1,800,,0,,SpyPepe
